Date,Actual,Predicted_Close,Lower_CI,Upper_CI
2025-01-01,,94094.21401047477,89768.11473493444,98420.3132860151
2025-01-02,,92621.55154670532,86503.50503373714,98739.5980596735
2025-01-03,,92550.93976933263,85057.87133500715,100044.00820365812
2025-01-04,,92842.8526834288,84190.57672827049,101495.12863858712
2025-01-05,,92435.66874864549,82762.10130713397,102109.23619015701
2025-01-06,,92162.74742941238,81565.85629229837,102759.6385665264
2025-01-07,,92663.89076579938,81217.90831323346,104109.8732183653
2025-01-08,,93341.15924237327,80448.76621251534,106233.55227223119
2025-01-09,,92463.05356027528,78270.89013702089,106655.21698352967
2025-01-10,,92849.124168928,77466.61370868316,108231.63462917284
2025-01-11,,92934.00996877355,76446.85817457696,109421.16176297014
2025-01-12,,92885.87093222345,75363.56682359148,110408.17504085542
2025-01-13,,92792.71086744011,74293.08148760637,111292.34024727385
2025-01-14,,93210.45534011142,73782.59316093542,112638.31751928743
2025-01-15,,93891.30105022543,73326.06455331198,114456.53754713888
2025-01-16,,93187.2371342292,71544.30247855344,114830.17178990497
2025-01-17,,93706.98762254365,71037.51842236052,116376.45682272677
2025-01-18,,93731.25640019795,70079.75344465695,117382.75935573895
2025-01-19,,93788.21446673796,69193.84732340652,118382.5816100694
2025-01-20,,93747.66731411373,68245.26987153979,119250.06475668767
2025-01-21,,94140.98618240209,67761.78697182922,120520.18539297496
2025-01-22,,94822.86801024551,67446.19154938712,122199.5444711039
2025-01-23,,94169.74266363234,65830.66503437207,122508.8202928926
2025-01-24,,94728.6160264148,65458.75317321645,123998.47887961316
2025-01-25,,94735.12844799741,64563.17018049832,124907.08671549651
2025-01-26,,94822.84195740036,63774.97723888818,125870.70667591254
2025-01-27,,94797.68582211947,62897.95719781457,126697.41444642437
2025-01-28,,95183.84315337116,62454.406275721296,127913.28003102102
2025-01-29,,95866.01720865739,62212.415326808354,129519.61909050643
2025-01-30,,95227.79272827119,60674.72428508108,129780.86117146129
